title,publishedAt,category,views,likes,comments,duration,tags,country
9 Habits ATTRACTIVE Men Practice Daily,2022-06-10T17:12:31Z,26,61666,3829,123,PT15M37S,"['dre drexler', 'dre', 'drexler', 'habits', 'morning habits', 'daily routine', 'daily habits', 'habits attractive men practice', 'look better', 'look sexier', 'habits to look better', 'how to look better', 'how to look more attractive', 'attractive', 'attractive habits', 'tricks to look better', 'tips to look better', 'tips to look more attractive', 'be more attractive', 'grooming tips']",US
Confidence Hack Only ‘The Top 5% Men’ Know About...,2022-09-24T14:00:07Z,26,770538,62540,267,PT26S,"['dre drexler', 'dre', 'drexler', 'confidence hack', 'confidence', 'how to have confidence', 'how to improve confidence', 'art of being chill', 'the art of being chill', 'the top 5% men', 'the top 5% of men', 'how to be more attractive', 'attractive', 'how to improve your attractiveness', 'how to improve your attractiveness as a man', 'how to be confident', 'how to be more confident', 'confidence hacks']",US
3 Habits To IMPROVE Your Night Time Routine,2022-10-31T14:00:07Z,27,153725,19344,47,PT19S,"['dre drexler', 'night time habits', 'nightly habits', 'nighttime habits', 'habits for night time', 'good habits for night time', 'good habits', 'habits', 'healthy habits', 'habits that will improve your life', 'daily habits that will change your life', 'daily habits to reduce stress and anxiety', 'daily habits of successful people', 'morning routine']",US
3 Harsh Truths Men NEED To Accept.,2022-11-21T14:00:23Z,27,205858,21704,112,PT21S,"['dre drexler', 'harsh truths men need to accept', '3 harsh truths men need to accept', 'harsh truths', 'harsh truths for men', 'harsh truths about life', 'masculinity', 'embrace masculinity reject weakness', 'self improvement']",US
How To STAND OUT In MODERN Relationships,2023-10-15T14:00:41Z,27,19405,2477,25,PT53S,"['dre drexler', 'self improvement', 'How To STAND OUT In MODERN Relationships', 'modern relationships', 'relationships', 'relationship', 'dating', 'dating advice', 'masculine advice', 'masculinity', 'embrace masculinity', 'far from weak', 'red pill', 'stand out as a man', 'how to stand out', 'how to stand out as a man']",US
4 Habits INSECURE Men Always Make,2022-11-06T14:00:21Z,27,102175,6674,78,PT18S,"['dre drexler', 'social anxiety', 'insecure', '4 habits insecure men always make', 'habits insecure men make', 'insecurities men have', 'insecurities', 'self improvement', 'insecure man', 'relationship advice']",US
How A High Value Man Handles REJECTION,2022-10-27T14:00:02Z,27,172850,18850,102,PT17S,"['dre drexler', 'How A High Value Man Handles REJECTION', 'high value man', 'rejection', 'how to handle rejection', 'high value', 'masculinity', 'how to be masculine', 'how to be a masculine man', 'how to be more masculine', 'how to be more masculine as a guy', 'how to better handle rejection', 'dealing with rejection', 'dating advice', 'high value men']",US
4 Ways To Be More Attractive In 30-Days | #SHORTS,2022-06-20T16:24:51Z,26,161052,14784,57,PT16S,"['Dre Drexler', 'be more attractive', 'attractive', 'look better', 'how to look more attractive', 'how to be more attractive', 'how to look sexier', 'mens lifestyle', 'mens grooming', 'lifestyle', 'daily habits', 'grooming habits', 'grooming routine']",US
MASCULINITY AT WAR.,2022-11-28T14:00:00Z,27,363626,27582,1023,PT9M19S,"['dre drexler', 'masculinity', 'masculinity at war', 'masculine energy', 'masculinity is at war', 'masculinity in crisis', 'embrace', 'embrace masculinity reject weakness', 'embrace masculinity', 'masculinity motivation', 'masculinity vs modern', 'toxic masculinity', 'self improvement', 'war on masculinity', 'masculinity crisis', 'jordan peterson', 'jordan peterson motivation', 'hamza', 'how to be more masculine', 'how to be masculine', 'masculine', 'masculine motivation']",US
How To Be Unrecognizable In 30-Days | #SHORTS,2022-06-18T16:09:57Z,26,92325,11164,63,PT14S,"['dre drexler', 'habits', 'daily habits', 'morning routine', 'habits of successful people', 'motivation', 'inspiration', 'mens lifestyle', 'motivational', 'inspirational video', 'fitness motivation', 'fitness', 'health', 'mens health', 'daily routine', 'morning habits']",US
Brilliant Confidence Hack That Makes Men 10x More Attractive,2022-09-20T14:00:13Z,26,884117,63220,223,PT23S,"['dre drexler', 'confidence hacks', 'confidence', 'how to build confidence', 'how to build more confidence', 'how to be more attractive', 'attractive', 'how to be more', 'how to be more attractive men', 'attractive traits in a guy', 'attractive traits', 'brilliant confidence hack that makes men 10x more attractive', 'how to look more attractive', 'how to be attractive']",US
5 REALISTIC Ways To Be A HIGH VALUE MAN.,2022-01-06T18:01:17Z,26,342554,28804,1565,PT22M39S,"['Dre', 'drexler', 'dre', 'high value', 'high value man', 'high value men', 'how to be a high value man', 'how to be high value', 'mens lifestyle', 'how to be a man', 'how to be masculine', 'masculinity', 'masculine', '5 Realistic Steps To Be A HIGH VALUE Man', 'how to look better', 'how to be better looking', 'how to be more attractive', 'attractive', 'how to look more attractive']",US
5 Habits That'll Fix 80% Of Your Problems | #SHORTS,2022-06-23T17:00:54Z,26,90776,13413,64,PT12S,"['dre drexler', 'successful habits', 'habits', 'morning habits', 'morning routine', 'mens lifestyle', 'lifestyle habits', 'life tips']",US
